name,power,power_percent_bonus,attraction_percent_bonus,luck,cheese_effect,consumption_upon
2014 Charm,2014,0,0,0,No Effect,Encounter
2015 Charm,2015,0,0,0,No Effect,Encounter
2016 Charm,2016,0,0,0,No Effect,Encounter
2017 Charm,2017,0,0,0,No Effect,Encounter
2018 Charm,2018,0,0,0,No Effect,Encounter
2019 Charm,2019,0,0,0,No Effect,Encounter
2020 Charm,2020,0,0,0,No Effect,Encounter
2021 Charm,2021,0,0,0,No Effect,Encounter
2022 Charm,2022,0,0,0,No Effect,Encounter
2023 Charm,2023,0,0,0,No Effect,Encounter
Airship Charm,800,0,0,5,No Effect,Encounter
Amplifier Charm,0,0,0,0,No Effect,Custom
Ancient Charm,600,5,5,5,Extremely Fresh,Always
Antiskele Charm,0,0,0,0,No Effect,Encounter
Artisan Charm,120,0,5,0,No Effect,Encounter
Athlete Charm,120,1,0,3,No Effect,Encounter
Attraction Charm,0,0,5,0,No Effect,Encounter
Baitkeep Charm,0,0,0,0,No Effect,Stale Cheese or Encounter
Black Powder Charm,0,3,0,5,Fresh,Encounter
Blue Double Sponge Charm,0,0,0,0,No Effect,Successful Catch
Brain Charm,0,0,0,0,Extremely Fresh,Encounter
Bravery Charm,0,0,0,0,No Effect,Successful Catch
Brilliant Water Jet Charm,0,0,0,0,No Effect,Custom
Cackle Charm,250,1,0,0,Stale,Encounter
Cactus Charm,250,1,4,2,Stale,Always
Candy Charm,500,5,10,5,No Effect,Successful Catch
Champion Charm,400,5,0,3,No Effect,Encounter
Cherry Charm,250,0,5,2,No Effect,Encounter
Chrome Charm,0,3,0,5,Fresh,Encounter
Clarity Charm,0,0,0,0,No Effect,Successful Catch
Compass Magnet Charm,200,5,2,3,Fresh,Always
Crucible Cloning Charm,0,0,0,0,No Effect,Custom
Cupcake Charm,0,0,7,7,Fresh,Always
Dark Chocolate Charm,250,1,0,0,Stale,Stale Cheese or Encounter
Derr Power Charm,0,0,0,0,No Effect,Custom
Diamond Boost Charm,0,0,0,0,No Effect,Custom
Door Guard Charm,0,3,0,5,Fresh,Encounter
Dragonbane Charm,0,0,0,0,No Effect,Custom
Dragonbreath Charm,0,5,0,0,No Effect,Successful Catch
Dreaded Charm,0,0,0,0,No Effect,Custom
Dusty Coal Charm,0,3,0,5,Fresh,Encounter
Eggscavator Charge Charm,0,0,0,0,No Effect,Successful Catch
Eggstra Charge Charm,250,5,5,2,No Effect,Successful Catch
Eggstra Charm,0,0,0,0,No Effect,Successful Catch
Elub Power Charm,0,0,0,0,No Effect,Custom
Ember Charm,0,500,0,0,No Effect,Encounter
EMP400 Charm,0,0,0,0,Stale,Custom
Empowered Anchor Charm,300,4,0,0,No Effect,Encounter
Enerchi Charm,100,1,0,0,No Effect,Encounter
Extra Sweet Cupcake Charm,0,0,8,8,Fresh,Always
Extreme Ancient Charm,800,7,7,7,Insanely Fresh,Always
Extreme Attraction Charm,0,0,50,0,No Effect,Encounter
Extreme Dragonbane Charm,0,0,0,0,No Effect,Custom
Extreme Luck Charm,0,0,0,5,No Effect,Encounter
Extreme Party Charm,0,12,0,12,No Effect,Encounter
Extreme Polluted Charm,0,0,0,0,No Effect,Encounter
Extreme Power Charm,600,5,0,0,No Effect,Encounter
Extreme Queso Pump Charm,100,10,10,8,Very Fresh,Encounter
Extreme Regal Charm,2000,0,75,8,No Effect,Encounter
Extreme Snowball Charm,400,4,4,8,No Effect,Always
Extreme Spooky Charm,400,4,4,8,No Effect,Encounter
Extreme Spore Charm,900,8,8,7,Extremely Stale,Encounter
Extreme Wealth Charm,0,0,0,0,No Effect,Successful Catch
Factory Repair Charm,11,11,11,5,No Effect,Encounter
Festive Anchor Charm,300,4,0,0,No Effect,Encounter
Festive Ultimate Luck Charm,0,0,0,20,No Effect,Encounter
Festive Ultimate Lucky Power Charm,2400,20,0,20,No Effect,Encounter
Festive Ultimate Power Charm,2400,20,0,0,No Effect,Encounter
Firecracker Charm,0,3,0,0,No Effect,Encounter
First Ever Charm,40,0,0,0,No Effect,Encounter
Flamebane Charm,0,0,0,0,No Effect,Custom
Forgotten Charm,0,0,0,0,No Effect,Always
Freshness Charm,0,0,0,0,Very Fresh,Failure to Attract
Gargantua Charm,250,5,0,0,No Effect,Custom
Gemstone Boost Charm,0,0,0,0,No Effect,Custom
Gift Wrapped Charm,0,0,0,2,No Effect,Always
Gilded Charm,360,3,20,3,Extremely Fresh,Always
Gloomy Gathering Charm,200,2,2,4,Ultimately Fresh,Always
Glowing Gourd Charm,0,10,0,0,No Effect,Encounter
Gnarled Charm,250,0,5,2,No Effect,Encounter
Golden Anchor Charm,300,4,0,0,No Effect,Encounter
Golem Guardian Charm,0,0,0,0,No Effect,Always
Greasy Glob Charm,0,3,0,5,Fresh,Encounter
Growth Charm,0,0,0,0,No Effect,Always
Grub Salt Charm,0,0,0,0,No Effect,Successful Catch
Grub Scent Charm,0,0,0,0,No Effect,Encounter
Grubling Bonanza Charm,0,0,0,0,No Effect,Successful Catch
Grubling Chow Charm,0,0,0,0,No Effect,Encounter
Horsepower Charm,0,0,0,0,No Effect,Successful Catch
Hunter's Horn Rewind Charm,0,0,0,0,No Effect,Failure to Catch
Hydro Charm,0,0,0,0,No Effect,Always
Lantern Oil Charm,200,2,2,1,Fresh,Always
Let It Snow Charm,0,0,0,5,No Effect,Encounter
Luck Charm,0,0,0,1,No Effect,Encounter
Lucky Power Charm,120,1,0,1,No Effect,Encounter
Lucky Rabbit Charm,0,0,0,6,No Effect,Encounter
Lucky Valentine Charm,0,0,25,5,Fresh,Encounter
Magmatic Crystal Charm,0,3,0,5,Fresh,Encounter
Mining Charm,250,1,0,0,No Effect,Encounter
Mobile Charm,0,5,0,5,Extremely Stale,Encounter
Monger Charm,0,0,0,0,No Effect,Custom
Monkey Fling Charm,0,0,0,0,No Effect,Successful Catch
Nanny Charm,120,1,5,0,Very Fresh,Encounter
Nerg Power Charm,0,0,0,0,No Effect,Custom
Nightlight Charm,120,0,0,2,No Effect,Encounter
Nightshade Farming Charm,50,3,2,0,No Effect,Always
Nitropop Charm,120,4,0,1,No Effect,Successful Catch
Oxygen Burst Charm,0,0,0,0,No Effect,Custom
Party Charm,0,3,0,3,No Effect,Encounter
Pointy Charm,0,0,0,0,No Effect,Successful Catch
Polluted Charm,0,0,0,0,No Effect,Encounter
Power Charm,120,1,0,0,No Effect,Encounter
Prospector's Charm,200,1,0,0,No Effect,Encounter
Queso Pump Charm,50,5,5,0,Fresh,Always
Rainbow Charm,1000,10,10,12,Insanely Fresh,Always
Rainbow Spore Charm,3000,25,25,25,No Effect,Always
Ramming Speed Charm,0,0,0,0,No Effect,Successful Catch
Reality Restitch Charm,0,10,10,5,Fresh,Always
Realm Ripper Charm,0,0,0,0,No Effect,Custom
Red Double Sponge Charm,0,0,0,0,No Effect,Successful Catch
Red Sponge Charm,0,0,0,0,No Effect,Successful Catch
Regal Charm,1000,0,20,6,No Effect,Encounter
Rift 2020 Charm,2020,0,0,0,No Effect,Encounter
Rift 2021 Charm,2021,0,0,0,No Effect,Encounter
Rift 2022 Charm,2022,0,0,0,No Effect,Encounter
Rift 2023 Charm,2023,0,0,0,No Effect,Encounter
Rift Airship Charm,500,0,0,5,No Effect,Encounter
Rift Antiskele Charm,0,0,0,0,No Effect,Encounter
Rift Charm,100,1,0,0,Stale,Encounter
Rift Chrome Charm,0,3,0,5,Fresh,Encounter
Rift Extreme Luck Charm,0,0,0,5,No Effect,Encounter
Rift Extreme Power Charm,1200,12,0,0,No Effect,Encounter
Rift Extreme Snowball Charm,400,4,4,8,No Effect,Encounter
Rift Luck Charm,0,0,0,1,No Effect,Encounter
Rift Power Charm,500,5,0,0,No Effect,Encounter
Rift Rainbow Spore Charm,3000,25,25,25,No Effect,Always
Rift Snowball Charm,100,1,1,2,No Effect,Encounter
Rift Spooky Charm,500,5,0,2,No Effect,Encounter
Rift Super Luck Charm,0,0,0,3,No Effect,Encounter
Rift Super Power Charm,750,8,0,0,No Effect,Encounter
Rift Super Snowball Charm,200,2,2,4,No Effect,Encounter
Rift Super Vacuum Charm,100,0,0,0,No Effect,Encounter
Rift Tarnished Charm,0,0,0,0,Uber Stale,Successful Catch
Rift Ultimate Luck Charm,0,0,0,20,No Effect,Always
Rift Ultimate Lucky Power Charm,2400,20,0,20,No Effect,Encounter
Rift Ultimate Power Charm,2400,20,0,0,No Effect,Encounter
Rift Ultimate Snowball Charm,800,8,8,20,No Effect,Encounter
Rift Vacuum Charm,0,0,0,0,No Effect,Encounter
Rift Wealth Charm,0,0,0,0,No Effect,Successful Catch
Roof Rack Charm,0,3,0,5,Fresh,Encounter
Rook Crumble Charm,0,0,0,0,No Effect,Custom
