name,type,power,power_percent_bonus,attraction_percent_bonus,luck,cheese_effect,obtain_method,title_req,gold_cost
2010 Blastoff Trap,Tactical,2600,15,0,25,Very Stale,LE,Journeyman/Journeywoman,512800
2012 Big Boom Trap,Tactical,2500,15,20,25,Extremely Stale,LE,Journeyman/Journeywoman,600000
500 Pound Spiked Crusher,Physical,250,10,0,1,No Effect,Purchase,Novice,3000
Admiral's Galleon Trap,Shadow,2500,25,0,15,No Effect,LE,Lord/Lady,0
Ambrosial Portal,Shadow,1025,0,5,0,Fresh,Purchase,Master,8000
Ambush Trap,Tactical,3000,5,0,12,Fresh,Purchase,Grandmaster,63410
Ancient Box Trap,Forgotten,4300,10,0,4,No Effect,LE,Hero,15817
Ancient Gauntlet,Physical,1050,4,20,4,Extremely Fresh,LE,Novice,0
Ancient Spear Gun,Hydro,3600,5,10,12,Fresh,Purchase,Legendary,160000
Anniversary Ambush,Tactical,3000,5,0,25,No Effect,LE,Grandmaster,6341
Anniversary Ancient Box Trap,Forgotten,4300,10,0,10,No Effect,Purchase,Hero,158175
Anniversary Arcane Capturing Rod Of Never Yielding Mystery,Arcane,3800,12,0,25,Insanely Stale,LE,Legendary,94905
Anniversary DeathBot,Physical,3000,15,10,25,Stale,LE,Journeyman/Journeywoman,25640
Anniversary Reaper's Perch,Shadow,3300,10,5,25,Stale,LE,Lord/Lady,276775
Arcane Blast Trap,Arcane,3400,8,0,20,Insanely Fresh,LE,Grandmaster,1470000
Arcane Capturing Rod Of Never Yielding Mystery,Arcane,3800,12,0,18,Insanely Stale,Purchase,Legendary,632700
Bandit Deflector,Law,2000,11,0,4,No Effect,Purchase,Lord/Lady,150000
Biomolecular Re-atomizer Trap,Rift,1500,2,2,0,Very Fresh,LE,Count/Countess,5000000
Birthday Candle Kaboom,Physical,2400,30,20,14,Very Stale,LE,Journeyman/Journeywoman,289000
Birthday Party Piñata Bonanza,Physical,2500,35,0,10,Stale,LE,Journeyman/Journeywoman,305000
Blackstone Pass Trap,Tactical,3000,15,0,12,Very Fresh,Purchase,Lord/Lady,650000
Blazing Ember Spear Trap,Draconic,5500,15,10,12,Extremely Stale,Purchase,Count/Countess,1000000
Boiling Cauldron Trap,Arcane,4500,15,0,20,No Effect,Purchase,Recruit,2260600
Bottomless Grave,Shadow,1500,0,0,5,No Effect,Purchase,Master,65400
Brain Extractor,Shadow,2000,5,5,6,Fresh,LE,Master,237000
Bubbles: The Party Crasher Trap,Hydro,5800,18,8,8,Very Stale,LE,Hero,0
Cackle Lantern Trap,Shadow,2200,5,10,12,Extremely Stale,LE,Hero,2628340
Candy Crusher Trap,Shadow,2000,3,15,15,No Effect,LE,Lord/Lady,0
Carousel Charger Trap,Physical,5000,15,10,20,Stale,LE,Grandmaster,175000
Celestial Dissonance Trap,Rift,3500,12,10,10,Fresh,Purchase,Archduke/Archduchess,13600000
Cemetery Gate Grappler,Draconic,5100,10,10,10,No Effect,LE,Knight,0
Charming PrinceBot,Physical,16500,28,15,36,Extremely Fresh,Purchase,Archduke/Archduchess,26000000
Cheese Seeking Lighthouse Trap,Shadow,5250,10,15,21,No Effect,LE,Baron/Baroness,7999999
Chesla's Revenge,Tactical,5000,2,10,16,Extremely Fresh,LE,Lord/Lady,0
Christmas Cactus Trap,Law,1800,5,15,4,Fresh,LE,Legendary,150000
Christmas Cracker Trap,Physical,3000,15,5,24,Very Fresh,LE,Initiate,0
Christmas Crystalabra Trap,Rift,1200,0,5,4,Fresh,LE,Count/Countess,150000
Chrome Arcane Capturing Rod Of Never Yielding Mystery,Arcane,5000,10,10,20,No Effect,LE,Legendary,1900000
Chrome Celestial Dissonance Trap,Rift,4750,15,15,13,Extremely Fresh,Crafted,Archduke/Archduchess,51850000
Chrome DeathBot,Physical,3500,20,15,30,Very Stale,LE,Journeyman/Journeywoman,512800
Chrome DrillBot,Physical,4400,20,0,26,Insanely Stale,LE,Grandmaster,897400
Chrome Grand Arcanum Trap,Arcane,5000,12,5,23,Fresh,LE,Baron/Baroness,6200000
Chrome MonstroBot,Physical,8500,22,10,30,No Effect,Crafted,Baron/Baroness,15504080
Chrome Nannybot,Shadow,1200,5,5,6,Fresh,LE,Grandmaster,508000
Chrome Oasis Water Node Trap,Hydro,5500,15,5,24,Fresh,Crafted,Baron/Baroness,13250800
Chrome Onyx Mallet,Physical,5500,30,0,20,Very Stale,LE,Hero,950000
Chrome Phantasmic Oasis Trap,Hydro,6200,20,15,28,Very Fresh,Crafted,Baron/Baroness,17050800
Chrome RhinoBot,Physical,6600,10,0,27,Ultimately Stale,LE,Legendary,3200000
Chrome School of Sharks Trap,Hydro,12500,25,20,32,Extremely Fresh,Crafted,Count/Countess,43000000
Chrome Sphynx Wrath,Tactical,6500,15,10,28,Very Fresh,Crafted,Baron/Baroness,13628000
Chrome Storm Wrought Ballista Trap,Draconic,6200,18,15,20,Stale,Crafted,Grand Duke/Grand Duchess,13700000
Chrome Tacky Glue Trap,Physical,70,0,30,20,Stale,LE,Novice,158000
Chrome Temporal Turbine,Shadow,6000,25,5,28,No Effect,Crafted,Duke/Duchess,50499999
Chrome Thought Obliterator Trap,Forgotten,16025,25,20,21,Extremely Fresh,Crafted,Archduke/Archduchess,41999999
Circlet of Pursuing Trap,Arcane,9000,25,15,35,Insanely Fresh,Purchase,Archduke/Archduchess,13000000
Circlet of Seeking Trap,Arcane,7200,15,10,28,Very Fresh,Purchase,Archduke/Archduchess,10950000
Cloaking Droid Trap,Tactical,5000,10,10,20,Very Fresh,LE,Grandmaster,750000
Clockapult of Time,Shadow,2700,10,5,10,Extremely Fresh,Purchase,Legendary,1800000
Clockapult of Winter Past,Shadow,2275,10,5,10,Extremely Fresh,Crafted,Legendary,1800000
Clockwork Portal Trap,Shadow,3900,12,10,20,No Effect,Purchase,Baron/Baroness,4000000
Creepy Coffin Trap,Shadow,1800,5,5,7,Extremely Stale,Purchase,Master,0
Crystal Crucible Trap,Forgotten,7800,10,2,8,Very Fresh,Purchase,Duke/Duchess,6640000
Crystal Mineral Crusher Trap,Forgotten,8000,10,5,5,Fresh,LE,Baron/Baroness,0
Crystal Tower,Rift,900,0,0,0,No Effect,Purchase,Count/Countess,4900000
Dark Magic Mirrors Trap,Shadow,8000,30,10,35,Very Stale,Purchase,Archduke/Archduchess,59000000
Darkest Chocolate Bunny Trap,Rift,1400,10,5,2,Very Stale,LE,Count/Countess,0
Digby DrillBot,Physical,3600,18,0,5,No Effect,Purchase,Master,256000
Dimensional Chest Trap,Tactical,5200,8,10,21,Extremely Fresh,Purchase,Baron/Baroness,1200000
Double Diamond Adventure,Hydro,3500,0,5,18,Insanely Fresh,LE,Knight,1090000
Dragon Lance,Draconic,4950,30,5,12,Extremely Stale,LE,Knight,8900000
Dragon Slayer Cannon,Draconic,10000,35,10,25,No Effect,Crafted,Grand Duke/Grand Duchess,31700000
Dragonvine Ballista Trap,Draconic,5750,15,5,14,Stale,Purchase,Grand Duke/Grand Duchess,1700000
Dreaded Totem Trap,Shadow,3000,15,10,10,Very Stale,LE,Hero,2400000
Droid Archmagus Trap,Arcane,5000,15,10,20,Stale,Purchase,Baron/Baroness,4700000
Ember Prison Core Trap,Law,4500,25,10,16,Stale,Purchase,Count/Countess,1500000
Endless Labyrinth Trap,Forgotten,10000,15,5,9,Very Stale,Purchase,Duke/Duchess,6980000
Engine Doubler,Law,2000,12,0,4,No Effect,Purchase,Lord/Lady,150000
Enraged RhinoBot,Physical,6000,10,0,20,Insanely Stale,Purchase,Legendary,360000
Event Horizon Trap,Arcane,6000,12,10,25,No Effect,Purchase,Duke/Duchess,7300000
Explosive Toboggan Ride,Hydro,2700,14,3,16,Extremely Fresh,LE,Master,10000
Father Winter's Timepiece Trap,Forgotten,5000,15,10,8,Fresh,LE,Legendary,25000
Festive Forgotten Fir Trap,Forgotten,7000,20,5,10,Fresh,LE,Lord/Lady,0
Festive Gauntlet Crusher,Physical,1200,5,25,5,Extremely Fresh,LE,Novice,0
Fluffy DeathBot,Physical,3000,15,10,4,Stale,Purchase,Journeyman/Journeywoman,0
Focused Crystal Laser,Rift,1750,0,0,0,No Effect,Purchase,Duke/Duchess,1500000
Forgotten Pressure Plate Trap,Forgotten,3500,10,10,2,Fresh,Purchase,Legendary,400000
Giant Speaker,Tactical,2850,5,5,22,No Effect,LE,Journeyman/Journeywoman,612800
Gingerbread House Surprise,Tactical,2200,10,10,8,Uber Fresh,Purchase,Journeyman/Journeywoman,0
Glacier Gatler,Hydro,4800,10,10,20,Very Fresh,LE,Lord/Lady,909000
Goldfrost Crossbow Trap,Shadow,5000,18,0,20,Very Fresh,LE,Baron/Baroness,5510000
Golem Guardian Arcane Trap,Arcane,6000,15,20,28,Fresh,LE,Journeyman/Journeywoman,25000
Golem Guardian Forgotten Trap,Forgotten,7000,15,20,15,Fresh,LE,Journeyman/Journeywoman,25000
Golem Guardian Hydro Trap,Hydro,10000,15,20,28,Fresh,LE,Journeyman/Journeywoman,0
Golem Guardian Physical Trap,Physical,7000,15,20,32,Fresh,LE,Journeyman/Journeywoman,25000
Golem Guardian Tactical Trap,Tactical,5000,15,20,30,Fresh,LE,Journeyman/Journeywoman,25000
Gorgon Trap,Shadow,2000,5,5,7,Very Stale,Purchase,Legendary,700000
